"Country","government_strategy","talent"
"China",94.87,16.51
"South Korea",87.5,14.54
"Japan",71.96,15.18
"Saudi Arabia",91.63,4.49
"Belgium",63.58,15.17
"Poland",78.14,14.21
"Slovenia",80.38,13.02
"Italy",61.43,11.09
"Russia",90.4,12.46
"Malta",70.49,15.87
"United Arab Emirates",81.38,2.65
"Portugal",70.69,13.43
"Czech Republic",70.29,11.11
"Lithuania",64.28,14.3
"Brazil",67.72,13.46
"Chile",60.5,10.56
"Turkey",67.45,8.49
"Colombia",85.29,4.97
"Vietnam",68.86,6.34
"Indonesia",59.99,5.51
"Egypt",68.72,1.11
